no;name;address;district;status;educational_group
1;KB AL - MUTAQIN;Desa Panulisan Timur;Panulisan Timur;Swasta;KB
2;KB AL AMANAH;Dusun Cikondang RT 01 RW 01;Datar;Swasta;KB
3;KB AL MUTAQIN KETRA;JL. KETRA NO.01;Datar;Swasta;KB
4;KB AT TAUBAH;MARYANI;Panulisan;Swasta;KB
5;KB DARUL ILMI;Jl. Suropati, Dusun Picungdatar;Dayeuhluhur;Swasta;KB
6;KB MIFTAHUL ILMI;RT. 03 / RW.09 DUSUN CIKADU;Bingkeng;Swasta;KB
7;KB THORIQUL HUDA;DUSUN SUDIMAMPIR, RT.01 / RW.04;Hanum;Swasta;KB
8;PAUD AISYIYAH;JL. RAYA KEBON SAHANG RT.04 RW.01;Dayeuhluhur;Swasta;PAUD
9;PAUD AL - HIDAYAH;JL. CIKONDANG NO.03;Datar;Swasta;PAUD
10;PAUD AL - IHSAN;DUSUN CIAWITALI;Panulisan Timur;Swasta;PAUD
11;PAUD AL FATAH;DUSUN CILULU;Dayeuhluhur;Swasta;PAUD
12;PAUD AL KAUTSAR;RT.02 RW.II;Ciwalen;Swasta;PAUD
13;PAUD AL MUNAWAROH;DUSUN SINGARAJA DESA DATAR;Datar;Swasta;PAUD
14;TK AISYIYAH;DESA DAYEUHLUHUR;Dayeuhluhur;Swasta;TK
15;TK CEMPAKA KUNING;DESA PANULISAN TIMUR;Panulisan Timur;Swasta;TK
16;TK KARTINI;DESA CIWALEN;Ciwalen;Swasta;TK
17;TK MASYITOH;DESA CIWALEN;Ciwalen;Swasta;TK
18;TK MELATI ASIH;DESA PANULISAN;Panulisan;Swasta;TK
19;TK PELITA HATI;JL. RAYA MERGO DAYEUH LUHUR RT.01/05, CIWALEN;Ciwalen;Swasta;TK
20;TK TUNAS KARYA;DESA MATENGENG;Matenggeng;Swasta;TK
21;TK. MASYITOH;DESA DAYEUHLUHUR;Dayeuhluhur;Swasta;TK
22;RA HIDAYATUL FATIHIN;CIBALUNG RT 2 RW 2;Karangreja;Swasta;RA
23;RA HIDAYATUL FATIHIN;DUSUN CIBUBUAY RT 03 RW 05;Bantarpanjang;Swasta;RA
24;RA MASITHOH 05 BANTARMANGU;BANTARMANGU;Karangreja;Swasta;RA
25;RA MASITHOH CIJATI;Jalan Raya Cipeusing;Cijati;Swasta;RA
26;RA MASITHOH NU CIMANGGU;JL.RAYA PANUSUPAN RT 03/04 KM 2 CIMANGGU;Cimanggu;Swasta;RA
27;MIN 5 CILACAP;JL.PRAWIRANEGARANO84;Dayeuhluhur;Negeri;MI
28;MIS GUPPI BOLANG;JL.PEMUDA RT 01/01;Bolang;Swasta;MI
29;MI ASSALAM;Jalan Raya Gatot Subroto RT 01 RW 05;Adimulya;Swasta;MI
30;MI MA`ARIF 03 LIMBANGAN;JL. PENYINGKIRAN;Limbangan;Swasta;MI
31;MIS KUN ANTA;JL. PRINGKUNING;Cilongkrang;Swasta;MI
32;MIS MA`ARIF 01 ADIMULYA;JL.MASJID AL-HIDAYAH N018 CIKUKUN ADIMULYA;Adimulya;Swasta;MI
33;MIS MA`ARIF 01 LIMBANGAN;JL.BRUJULAN LIMBANGAN;Limbangan;Swasta;MI
34;SD NEGERI BINGKENG 01 DAYEUHLUHUR;Dusun Pasirmanggu;Bingkeng;Negeri;SD
35;SD NEGERI BINGKENG 02 DAYEUHLUHUR;Jln. Pengkolan NO.99 Aria RT:03/05 Desa Bingkeng;Bingkeng;Negeri;SD
36;SD NEGERI BINGKENG 03 DAYEUHLUHUR;Dusun Cikadu RT 03 RW 09;Bingkeng;Negeri;SD
37;SD NEGERI BOLANG DAYEUHLUHUR;Rt 01/05 Dusun Sukamulya;Bolang;Negeri;SD
38;SMP MUHAMMADIYAH 1 DAYEUHLUHUR;Jl Prawiranegara No.52;Dayeuhluhur;Swasta;SMP
39;SMP MUHAMMADIYAH 2 BOLANG;Jl. Desa No. 3 Bolang Dayeuhluhur;Bolang;Swasta;SMP
40;SMP MUHAMMADIYAH 3 DAYEUHLUHUR;Jl. Puskesmas No.2 Datar;Datar;Swasta;SMP
41;SMP NEGERI 1 DAYEUHLUHUR;Jl. Sindanglangu RT 04 RW 07;Dayeuhluhur;Negeri;SMP
42;SMP NEGERI 2 DAYEUHLUHUR;Jl. Mergo-Dayeuhluhur;Panulisan Timur;Negeri;SMP
43;SMP PGRI 12 DAYEUHLUHUR;Jl. Palalangon No. 24;Dayeuhluhur;Swasta;SMP
44;MTSS AL IKHSAN;JL. RADEN FATAH 12;Sidamulya;Swasta;MTS
45;MTSS GUPPI WANAREJA;JL. RAYA MASJID YAMP AL-HUDA;Bantar;Swasta;MTS
46;MTSS MA`ARIF WANAREJA;JL. BENDUNG MANGANTI KM.3;Wanareja;Swasta;MTS
47;MTSS YPI SUFYAN TSAURI;JL.MADRASAH NO.02 LIMBANGAN WANAREJA;Limbangan;Swasta;MTS
